p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
0,1.7198227395975259,0.795,0.545,0,11,Diaph2
0,1.5074226397313164,0.871,0.623,0,11,Slc12a6
0,1.7084125859621067,0.695,0.447,0,11,Dyrk1a
0,1.3101097179519479,0.92,0.673,0,11,Ift80
0,1.7058073688181175,0.93,0.683,0,11,Msi2
0,1.5397529126774592,0.814,0.567,0,11,Tcf20
0,1.6439448725940193,0.775,0.529,0,11,Vav3
0,1.8317221483233515,0.715,0.469,0,11,Etv6
0,1.6548019660567752,0.89,0.644,0,11,Vti1a
0,1.9628622551482509,0.554,0.309,0,11,Arhgap26
0,1.7371665672974461,0.92,0.675,0,11,Atxn1
0,1.953319108708285,0.675,0.431,0,11,Akt3
0,1.7061748578899565,0.713,0.469,0,11,Airn
0,1.8517752814538349,0.95,0.708,0,11,Exoc4
0,1.413687984999944,0.824,0.582,0,11,Traf3
0,1.8706078615236994,0.508,0.267,0,11,Disp1
0,1.5251573162096639,0.83,0.59,0,11,Snd1
0,1.9265177554314337,0.943,0.704,0,11,Tox
0,1.681389009532356,0.723,0.486,0,11,Ralgapa2
0,1.4530088104265355,0.841,0.604,0,11,Peak1
0,1.9939606483158936,0.497,0.26,0,11,Nedd4l
0,1.8431382538745875,0.671,0.435,0,11,Btbd9
0,1.9262983990012508,0.632,0.396,0,11,Gtdc1
0,1.9202153733459892,0.491,0.255,0,11,Fbxw7
0,2.22322074273951,0.976,0.74,0,11,Lncpint
0,1.8114905499174956,0.634,0.399,0,11,Exoc6b
0,1.4027157460932573,0.84,0.605,0,11,Dlg1
0,1.3824104280436975,0.803,0.569,0,11,Ankib1
0,2.1677094091970153,0.461,0.228,0,11,Rfx3
0,2.092609603299125,0.972,0.739,0,11,Aff3
0,1.5129070519806866,0.768,0.535,0,11,Rere
0,1.6295797466565867,0.952,0.719,0,11,Vps54
0,1.914314640894311,0.611,0.378,0,11,Fars2
0,1.586997778285682,0.696,0.463,0,11,Sipa1l1
0,2.430225100802617,0.514,0.282,0,11,St6galnac3
0,1.671146526047866,0.949,0.717,0,11,Itpkb
0,1.4025470528043098,0.785,0.553,0,11,Ppp1r16b
0,1.3317871027313783,0.76,0.528,0,11,Sidt1
0,1.2738634276512717,0.884,0.652,0,11,Kat2b
0,1.234066816590087,0.889,0.659,0,11,Mllt10
0,1.2992082745044007,0.862,0.632,0,11,Hipk2
0,1.5417904979364825,0.836,0.606,0,11,Zfand3
0,1.2112012021254082,0.836,0.607,0,11,Arfgef1
0,1.7881454742632585,0.962,0.733,0,11,Tcf12
0,1.462294456926689,0.912,0.683,0,11,Man1a
0,1.381159838374744,0.831,0.603,0,11,Tbc1d1
0,1.7961057483465983,0.631,0.403,0,11,Cdkal1
0,1.6737209644911943,0.946,0.72,0,11,Tasp1
0,1.5004640175280142,0.736,0.51,0,11,Atp9b
0,1.619875420996637,0.605,0.38,0,11,Rapgef2
0,1.286730587721212,0.909,0.684,0,11,Jmjd1c
0,1.3569279788104653,0.837,0.612,0,11,Mrtfa
0,1.4062386146334562,0.821,0.598,0,11,Smg6
0,1.6071385333323955,0.94,0.717,0,11,Cog5
0,1.6157143599768018,0.632,0.41,0,11,Zfp831
0,1.8228694311776998,0.588,0.366,0,11,Fto
0,1.717680483479751,0.949,0.727,0,11,Cblb
0,1.501650558280942,0.949,0.728,0,11,Phf21a
0,1.4191169468190628,0.733,0.512,0,11,Gramd1b
0,1.1581239882052259,0.904,0.685,0,11,St6gal1
0,1.153127238227763,0.809,0.591,0,11,Sec24a
0,1.0975104895612764,0.88,0.662,0,11,Kmt2c
0,1.2482667550402606,0.885,0.667,0,11,Tnrc6c
0,1.3533697451308235,0.924,0.707,0,11,Dennd1b
0,1.7167743626841583,0.659,0.442,0,11,Zswim6
0,1.259725669437589,0.911,0.695,0,11,Picalm
0,1.1852851553670845,0.889,0.673,0,11,Phc3
0,1.7419368854420978,0.61,0.394,0,11,2610035D17Rik
0,1.0978243056879133,0.903,0.688,0,11,Mtmr3
0,1.5630877371555312,0.713,0.498,0,11,Susd6
0,1.2274252938772683,0.871,0.656,0,11,Lrch3
0,1.4402105759821833,0.735,0.52,0,11,Fbxo11
0,1.2686638215575392,0.89,0.675,0,11,Rps6ka3
0,1.4389820525114563,0.937,0.723,0,11,Ankrd17
0,1.275747075043031,0.809,0.595,0,11,Arhgap25
0,1.3950214334331,0.956,0.742,0,11,Aak1
0,1.1775742190742342,0.936,0.724,0,11,Chd2
0,1.2283354966678617,0.789,0.578,0,11,Ranbp9
0,1.5728954059334914,0.674,0.463,0,11,Sik3
0,1.1190711772768047,0.851,0.64,0,11,Cul3
0,1.4525038337613523,0.74,0.529,0,11,Card11
0,1.2784465156790827,0.923,0.713,0,11,St8sia4
0,1.3874013469861395,0.923,0.714,0,11,Stag1
0,1.0942368905262443,0.913,0.704,0,11,Pecam1
0,1.1019885585259828,0.823,0.614,0,11,Map4k4
0,1.197008108034522,0.942,0.734,0,11,Ahcyl2
0,1.0588262754035105,0.891,0.683,0,11,Stat5b
0,1.294924294266275,0.835,0.629,0,11,Pacs1
0,1.0878538930822184,0.933,0.728,0,11,Arap2
0,1.1631225347361023,0.801,0.597,0,11,Tbl1xr1
0,1.1790576733331237,0.892,0.689,0,11,Osbpl8
0,1.1755589315227992,0.783,0.58,0,11,Exoc2
0,1.2790237512218612,0.728,0.525,0,11,Rbm33
0,1.071511792018231,0.917,0.715,0,11,Asxl1
0,1.4254337199115095,0.69,0.488,0,11,Tet3
0,1.2801574274211263,0.746,0.544,0,11,Ppp6r3
0,1.1576441461997535,0.922,0.721,0,11,Cdk17
0,1.803645967150759,0.967,0.766,0,11,Hivep2
0,1.181984733826475,0.838,0.637,0,11,Ascc3
0,2.3598230085848253,0.61,0.41,0,11,Immp2l
0,1.2276821499400017,0.885,0.685,0,11,Cnot4
0,1.0756175190617254,0.943,0.743,0,11,Ccdc88c
0,1.064646384223153,0.829,0.629,0,11,Scaf8
0,1.0834179139129725,0.824,0.625,0,11,Tnrc6a
0,1.3982755461607255,0.954,0.755,0,11,Gm20275
0,1.3211459042050728,0.921,0.723,0,11,Ppp3ca
0,1.1794923846730203,0.82,0.623,0,11,Strn3
0,1.1583054184077075,0.79,0.594,0,11,Dip2b
0,1.0712417463143458,0.82,0.624,0,11,Atad2b
0,1.1381316186974462,0.926,0.731,0,11,Inpp5d
0,1.0546721897270221,0.936,0.741,0,11,Eif4g3
0,1.007358062355161,0.912,0.717,0,11,Rasa1
0,1.4705623868331394,0.932,0.737,0,11,Sntb1
0,1.0121501139225355,0.864,0.673,0,11,Rbm6
0,1.0887323178836965,0.942,0.751,0,11,Crebbp
0,1.0060634269584785,0.903,0.713,0,11,Arid1a
0,1.0356994737912086,0.905,0.715,0,11,Atf7ip
0,1.2007085059629141,0.78,0.592,0,11,Rngtt
0,1.182845788042583,0.93,0.742,0,11,Herc4
0,1.7317501641777735,0.968,0.78,0,11,Zcchc7
0,1.4641605081035922,0.966,0.778,0,11,Nlrc5
0,1.0337233403814068,0.909,0.722,0,11,Dnajc1
0,1.8769441118014607,0.98,0.795,0,11,Tnik
0,1.3990326235519766,0.959,0.776,0,11,Nedd9
0,1.0872467950118856,0.93,0.748,0,11,Retreg1
0,1.2241562566763835,0.957,0.775,0,11,Arhgef18
0,1.0761577628803833,0.95,0.772,0,11,Ash1l
0,2.0011895398451793,0.987,0.814,0,11,Runx1
0,1.9385238313272435,0.977,0.804,0,11,Bcl2
0,1.6018329095179653,0.973,0.8,0,11,Fam172a
0,1.18389778920946,0.961,0.791,0,11,Ipcef1
0,1.0936692395245484,0.949,0.779,0,11,Usp34
0,1.0075583537534287,0.946,0.779,0,11,4932438A13Rik
0,1.2030265152541038,0.954,0.787,0,11,Arih1
0,1.4166431463572677,0.969,0.804,0,11,Arid5b
0,1.122723198409188,0.943,0.783,0,11,Iqgap2
0,1.267400414712234,0.962,0.803,0,11,Lrrc8c
0,1.0248813143445075,0.95,0.793,0,11,Ttc39b
0,1.3951197864400116,0.983,0.83,0,11,Itpr2
0,1.3521880927523087,0.984,0.833,0,11,Fryl
0,1.1253203068467124,0.963,0.814,0,11,Satb1
0,1.3425708255866144,0.974,0.832,0,11,Camk2d
0,1.0551181095502322,0.969,0.828,0,11,Stat4
0,1.553732650344347,0.977,0.837,0,11,Camk1d
0,1.0528608399788548,0.969,0.829,0,11,Huwe1
0,1.2581851258781251,0.981,0.843,0,11,Fam169b
0,1.4062249172187484,0.981,0.848,0,11,Tnrc6b
0,1.1702960407521517,0.974,0.848,0,11,Esyt2
0,1.2466673536027515,0.979,0.855,0,11,Kansl1
0,1.135517579204964,0.974,0.854,0,11,Foxo1
0,1.0444361775479554,0.964,0.845,0,11,Dock11
0,1.0990380044709336,0.973,0.856,0,11,Usp3
0,1.0351442474991932,0.969,0.854,0,11,Rcsd1
0,1.6534968349696686,0.992,0.877,0,11,Mllt3
0,1.295542546075557,0.986,0.874,0,11,Bcl11b
0,1.5149814532088337,0.992,0.885,0,11,Camk4
0,1.221878868915829,0.99,0.885,0,11,Ssh2
0,1.101273378143837,0.977,0.873,0,11,Fli1
0,1.7302551245619493,0.991,0.891,0,11,Foxp1
0,1.3559459117318826,0.989,0.889,0,11,Cyth1
0,1.2138002108452595,0.988,0.889,0,11,Gphn
0,1.4992620234847265,0.99,0.895,0,11,Arhgef3
0,1.1802454537161464,0.991,0.898,0,11,Gm26740
0,1.0701934081475852,0.986,0.897,0,11,Rap1gds1
0,1.1025514004882049,0.99,0.908,0,11,Dock8
0,1.701210175004374,0.994,0.914,0,11,Prkca
0,1.3232731914325688,0.993,0.92,0,11,Grap2
0,1.3461241161385433,0.992,0.923,0,11,Ikzf1
0,1.5675111862757642,0.996,0.927,0,11,Pitpnc1
0,1.8156283037418544,0.995,0.938,0,11,Elmo1
0,1.6726959484618797,0.964,0.907,0,11,Il31ra
0,1.4674337374583972,0.999,0.949,0,11,Utrn
0,1.5059645996278492,0.996,0.946,0,11,Foxn3
0,1.619566042249697,0.999,0.951,0,11,Ankrd44
0,1.1292907058359107,0.998,0.951,0,11,Fyn
0,1.1659686972457053,0.996,0.952,0,11,Celf2
0,1.0134520576922283,0.997,0.953,0,11,Nsd3
0,1.3879243105280783,0.995,0.951,0,11,Ccnd3
0,1.1074723068715784,0.998,0.959,0,11,Peli1
0,1.4007738342704705,0.995,0.96,0,11,Ikzf2
0,1.2035972550879013,0.998,0.963,0,11,Ripor2
0,1.505452681616104,1,0.967,0,11,Rabgap1l
0,1.4881754932538427,0.999,0.966,0,11,Prkch
0,1.132220228526517,0.999,0.968,0,11,Macf1
0,1.1552773486907495,0.999,0.97,0,11,Prkcq
0,1.415389977417275,1,0.976,0,11,Gm2682
0,1.3389711840728737,1,0.988,0,11,Dock10
0,1.17667548819422,1,0.994,0,11,Akap13
0,1.7876954589432268,1,0.994,0,11,Inpp4b
0,1.8905839378730223,1,0.996,0,11,Arhgap15
0,1.348713674088453,1,0.998,0,11,Skap1
0,1.374374326550217,1,1,0,11,Mbnl1
0,1.2358514442849877,1,1,0,11,Gm42418
0,1.0537067844282264,1,1,0,11,Malat1
0,1.7798015672359977,0.478,0.194,0,12,Gm19951
0,1.8407567306806323,0.803,0.546,0,12,Gm48099
0,3.7402394919408293,1,0.989,0,12,Cdk8
0,2.722638552961193,1,0.993,0,12,Cmss1
0,1.1809784411474307,0.997,0.991,0,12,Hexb
0,4.700986597070149,0.934,0.159,0,13,Ifit1
0,4.8798313170230525,0.916,0.142,0,13,Ifit3
0,3.118856012921017,0.862,0.292,0,13,Usp18
0,4.863264478194812,0.603,0.047,0,13,Ifit3b
0,2.731820435166508,0.817,0.279,0,13,A330040F15Rik
0,3.703463008179465,0.983,0.455,0,13,Isg15
0,3.411166615236489,0.673,0.145,0,13,Cmpk2
0,2.8101141474501254,0.976,0.454,0,13,Irf7
0,2.3452398730448403,0.972,0.45,0,13,Rtp4
0,2.5608021800266787,0.771,0.295,0,13,Ifih1
0,5.311539963113561,0.503,0.032,0,13,Rsad2
0,2.2391931414251767,0.78,0.32,0,13,Ifi214
0,2.371076584513875,0.736,0.278,0,13,Ddx60
0,2.6093146835462617,0.622,0.17,0,13,Dhx58
0,2.3714924431367015,0.928,0.479,0,13,Rnf213
0,2.0521403920709833,0.8,0.36,0,13,Phf11c
0,2.3090178289707346,0.893,0.453,0,13,Ifit1bl1
0,2.43052264878714,0.963,0.523,0,13,Ifi208
0,2.0498452360990007,0.749,0.312,0,13,Trim30d
0,2.116467188192915,0.775,0.339,0,13,Pml
0,2.053238135651507,0.921,0.486,0,13,Ifi206
0,2.116972034339314,0.956,0.524,0,13,Xaf1
0,2.0624074697732535,0.827,0.398,0,13,Lgals3bp
0,2.647852242113676,0.574,0.148,0,13,Oas3
0,1.9991872230466199,0.855,0.441,0,13,Stat2
0,2.6115653920158275,0.874,0.463,0,13,Slfn5
0,3.5655001773954473,0.472,0.066,0,13,Oasl2
0,2.05504397312894,0.803,0.406,0,13,Eif2ak2
0,2.001884710889313,0.926,0.531,0,13,Ifi213
0,2.211523793096588,0.84,0.448,0,13,Daxx
0,2.130691774436653,0.896,0.516,0,13,Herc6
0,2.130832441289562,0.703,0.324,0,13,Trafd1
0,2.1983589967030515,0.684,0.309,0,13,Ube2l6
0,1.5969613060166665,0.784,0.412,0,13,Gm20559
0,1.901064635256129,0.596,0.224,0,13,Gbp10
0,1.9377456812265703,0.678,0.312,0,13,Phf11a
0,2.7283120379575854,0.445,0.09,0,13,Gm47242
0,1.770019846694589,0.904,0.554,0,13,Ddx58
0,1.8400438625295537,0.921,0.572,0,13,Slfn8
0,1.6209003206120376,0.709,0.36,0,13,Trim25
0,1.6085271310890008,0.64,0.292,0,13,H2-T24
0,1.7095445275037204,0.626,0.278,0,13,Hsh2d
0,1.6464938943913126,0.923,0.579,0,13,Parp9
0,2.194228828275424,0.905,0.566,0,13,Isg20
0,2.1995984412165934,0.601,0.267,0,13,Ifit2
0,1.643081915475053,0.937,0.609,0,13,Gbp6
0,1.6556408307810837,0.857,0.53,0,13,Gbp9
0,1.435106112109298,0.663,0.337,0,13,Trim34a
0,1.4916199364973495,0.678,0.356,0,13,Gm4951
0,1.4241675418145632,0.924,0.604,0,13,Irgm1
0,2.5690326337658034,0.424,0.109,0,13,Parp12
0,1.2731084240839026,0.838,0.532,0,13,Tgtp2
0,4.168711673677066,0.335,0.03,0,13,Oasl1
0,1.5235906022310457,0.9,0.601,0,13,Samd9l
0,3.485470275787785,0.324,0.042,0,13,Oas2
0,1.4474200443523582,0.903,0.642,0,13,Parp14
0,1.8237274326922002,0.97,0.712,0,13,Trim30a
0,1.2649132261087626,0.912,0.654,0,13,Iigp1
0,1.326185972461366,0.886,0.635,0,13,Dtx3l
0,1.836276662545172,0.983,0.744,0,13,Zbp1
0,1.307660028451731,0.843,0.622,0,13,Zup1
0,1.7293329646467783,0.933,0.715,0,13,Phf11b
0,1.9724707820597858,0.983,0.784,0,13,Bst2
0,1.1813433489462806,0.924,0.727,0,13,Ifi35
0,2.803175723194807,0.226,0.048,0,13,Trim30c
0,1.034981534012691,0.935,0.77,0,13,Gbp4
0,1.1366202605538747,0.932,0.776,0,13,Usp25
0,1.443755154832317,0.993,0.85,0,13,Slfn1
0,1.5903490783643608,0.995,0.871,0,13,Ifi209
0,1.200230902420165,0.97,0.873,0,13,Lgals9
0,4.8930764920699055,0.062,0.003,0,13,Ifi204
0,1.0440579771613012,0.995,0.955,0,13,Ifi47
0,1.262446591387405,0.999,0.961,0,13,Ifi203
0,1.1373556647423446,1,0.976,0,13,Mndal
0,1.0124124816437559,1,0.982,0,13,Stat1
0,1.0540792357675919,1,0.997,0,13,Ifi27l2a
0,2.46160806250336,1,1,0,14,Gm42418
0,6.095712350998185,0.879,0.039,0,15,Egr2
0,5.302275671664374,0.98,0.147,0,15,Egr1
0,5.986015368770611,0.765,0.03,0,15,Egr3
0,4.936912271598686,0.837,0.199,0,15,Nr4a1
0,3.6249751611579275,0.897,0.298,0,15,Nfkbid
0,2.7307177473910578,0.762,0.223,0,15,Plk3
0,5.169507381396826,0.556,0.059,0,15,Nr4a3
0,2.9385275977788465,0.913,0.448,0,15,Tagap
0,2.8951517323928364,0.649,0.194,0,15,Irf4
0,2.2427741155452994,0.723,0.295,0,15,Nab2
0,2.479032446612723,0.87,0.451,0,15,Rilpl2
0,2.280192786636701,0.77,0.356,0,15,Bcl2a1b
0,2.725739116131873,0.656,0.256,0,15,Tnf
0,2.4285557072753297,0.55,0.193,0,15,Kdm6b
0,1.88545918903031,0.667,0.312,0,15,Csrnp1
0,2.0550852379216282,0.582,0.235,0,15,Tgif1
0,1.7424924122957912,0.857,0.525,0,15,Rel
0,1.8430913952767662,0.765,0.44,0,15,Orai1
0,1.5048769665962372,0.889,0.599,0,15,Samsn1
0,1.5331166847817161,0.889,0.601,0,15,Nfkbiz
0,2.0241039847766493,0.945,0.689,0,15,Dusp2
0,1.561277926161572,0.947,0.718,0,15,Ier2
0,2.163914381658702,0.959,0.743,0,15,Cd69
